è;1;0
zv;1;1
zm;2;0
m;2;1
v;2;2
zv;2;3
zm;3;2
m;3;3
v;3;4
zv;3;5
zm;4;4
è;4;5
zv;4;6
zm;5;6
è;5;7
zv;5;8
zm;6;7
m;6;8
v;6;9
zv;6;10
zm;7;9
m;7;10
v;7;11
zv;7;12
è;8;12
